source_name,source_type,status,evidence_url,license,cost_note,alpha,beta,value_est,effort_est,score,last_cycle
TomTom Traffic Index (city stats web),commercial_api,no_history,https://www.tomtom.com/traffic-index/ranking/,Proprietary (site ToS),"Egress policy blocks tomtom.com (proxy CONNECT 403); page is city-level typical-week/yearly aggregate, not timestamped per-segment observations.",1,2,0.25,3,0.0139,5
TomTom Move / Traffic Stats API,commercial_api,paywalled_or_keyed,https://developer.tomtom.com/move-portal/guides/traffic-stats/introduction,Commercial,30-day free trial then paid; licensing per directional mile. Requires account+API key (none provided). Host also egress-blocked. Signup: https://move.tomtom.com,1,2,0.9,3,0.05,5
TomTom Flow Segment Data API (live),commercial_api,paywalled_or_keyed,https://developer.tomtom.com/traffic-api/documentation/traffic-flow/flow-segment-data,Commercial (free tier w/ key),Free tier requires free registration + API key (none provided). Live only (no history). Host egress-blocked. See forward_collector.py.,1,2,0.5,2,0.0417,5
HERE Traffic API (historical flow),commercial_api,paywalled_or_keyed,https://www.here.com/get-started/pricing,Commercial (freemium),Freemium 250k txns/mo; Traffic API first 5k free then $2.50/1k. Requires free account+API key (none provided). Host egress-blocked.,1,2,0.8,3,0.0444,5
INRIX,commercial_api,paywalled_or_keyed,https://inrix.com/products/inrix-iq-analytics/,Commercial,"Enterprise-only, sales-quoted; no public keyless access. Not directly probed (host egress-blocked).",1,1,0.8,3,0.0444,5
Google BigQuery public datasets,academic_repo,no_riyadh,https://cloud.google.com/bigquery/public-data,Varies,No public BigQuery dataset with Riyadh road speed/congestion. BigQuery endpoints egress-blocked/scoped in this session.,1,2,0.3,3,0.0143,5
Saudi Open Data portal (open.data.gov.sa),gov_portal,no_history,https://open.data.gov.sa/,Open (Saudi Open Data License),Host egress-blocked (proxy 403). Evidence via khaliddosari/saudi-road-safety-mlops shows underlying open data = monthly regional vehicle COUNTS and road-asset inventories; no speed/congestion time series.,1,2,0.35,3,0.0233,5
Royal Commission for Riyadh City,gov_portal,no_history,https://www.rcrc.gov.sa/en/,Unknown,Host egress-blocked. No public keyless speed/congestion dataset identified.,1,1,0.3,3,0.02,5
Ministry of Transport & Logistic Services (KSA),gov_portal,no_history,https://mot.gov.sa/en/OpenData,Open,"Host egress-blocked. Per mlops-repo evidence, MoT open data = point-level traffic sensors / road specs (regional), not fine-grained speed+congestion series.",1,2,0.25,3,0.0167,5
GASTAT (General Authority for Statistics),gov_portal,no_history,https://www.stats.gov.sa/en/,Open,"Host egress-blocked. GASTAT Land/Road Transport stats = annual/monthly regional aggregates (counts), no speed/congestion.",1,2,0.15,3,0.01,5
Kaggle (Riyadh traffic search),academic_repo,paywalled_or_keyed,https://www.kaggle.com/datasets/majedalhulayel/traffic-index-in-saudi-arabia-and-middle-east,Varies (per-dataset),Dataset 'Traffic Index in Saudi Arabia and Middle East' exists but kaggle.com egress-blocked (403); direct download needs Kaggle account/API token (none provided).,1,2,0.4,3,0.019,5
Zenodo (Riyadh traffic search),academic_repo,no_riyadh,https://zenodo.org/search?q=Riyadh%20traffic,Varies (often CC),Host egress-blocked. Search surfaced no Riyadh road speed/congestion dataset; hits were audio/other cities.,1,2,0.4,2,0.0286,5
IEEE DataPort (Riyadh traffic),academic_repo,paywalled_or_keyed,https://ieee-dataport.org/,Varies (mostly subscription),Host egress-blocked; most datasets require IEEE subscription. No keyless Riyadh speed/congestion dataset identified.,1,1,0.35,3,0.0167,5
Harvard Dataverse (Riyadh traffic),academic_repo,no_riyadh,https://dataverse.harvard.edu/,Varies (often CC0),Host egress-blocked. No Riyadh road speed/congestion dataset identified via search.,1,2,0.35,2,0.025,5
Academic papers w/ Riyadh speed data,academic_repo,no_history,https://arxiv.org/abs/2506.01974,Varies,"Relevant papers exist (e.g. Dubai-vs-Riyadh AI mobility study) but publish analyses/figures, not open timestamped speed+congestion tables; hosts (arXiv/publishers) egress-blocked.",1,2,0.3,4,0.0107,5
Wayback Machine congestion dashboards,archive_snapshot,no_history,https://web.archive.org/,Archive,web.archive.org egress-blocked (proxy 403); cannot retrieve snapshots. Live congestion dashboards are JS/API-driven and rarely archived with structured data.,1,2,0.3,4,0.025,5
GitHub: khaliddosari/saudi-road-safety-mlops,gov_portal,exhausted,https://raw.githubusercontent.com/khaliddosari/saudi-road-safety-mlops/main/data/processed/traffic_monthly.csv,MIT (repo) / GASTAT+MoT (data),"REACHED & FETCHED. Contains monthly regional vehicle COUNTS (Riyadh 2024, 29 count points) — NO speed, NO congestion index. Off-target: does not meet schema's speed/congestion requirement. Saved to raw/.",1,1,0.1,2,0.01,5
GitHub: adkurylev/relocation_recsys (Numbeo scrape),academic_repo,exhausted,https://raw.githubusercontent.com/adkurylev/relocation_recsys/master/data/raw/numbeo/numbeo_traffic.csv,Numbeo ToS (crowd-sourced),"REACHED. Single Riyadh row: Numbeo Traffic Index 144.67, Time Index 30.82 min. Congestion-type composite but CITY-LEVEL, NO speed, and NO timestamp in artifact -> cannot assign a verifiable observation time without fabrication. Excluded from CSV; documented as near-miss.",1,1,0.1,2,0.0071,5
GitHub: Wsh7Ash/gcc-smart-traffic (SIMULATED),academic_repo,exhausted,https://github.com/Wsh7Ash/gcc-smart-traffic,N/A,"REACHED. Has exactly the target fields (avg_speed_kmh, congestion_index) for Riyadh BUT they are SYNTHETIC (TrafficSimulator/CongestionPredictor output). Excluded per PRIME DIRECTIVE (zero fabrication).",1,1,0.0,2,0.0,5
GitHub: human06/nexus-globe (live TomTom ingester),commercial_api,paywalled_or_keyed,https://github.com/human06/nexus-globe,Repo license / TomTom data,REACHED. Code ingests TomTom live flow for cities incl. Riyadh (current/free-flow speed) but commits NO historical data and needs a TomTom API key to run.,1,1,0.2,2,0.0167,5
